RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES,CREATED_TIMESTAMP,COE_NAMES,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,ON_TIME
Fixed,,,18:37.0,,48:12.0,CS - Common Services,47:41.0,Common Services,,,0,FALSE
Fixed,,,18:37.0,,48:12.0,CS - Common Services,47:41.0,Common Services,,,0,FALSE
Fixed,,,18:37.0,,48:12.0,CS - Common Services,47:41.0,Common Services,,,0,FALSE
Done,Issues,,58:03.0,,52:09.0,CS - Common Services,17:23.0,Common Services,,,1176,FALSE
Done,Issues,,58:03.0,,52:09.0,CS - Common Services,17:23.0,Common Services,,,1176,FALSE
Fixed,APIs,,50:43.0,,37:38.0,CS - Common Services,33:39.0,Common Services,,,4656,FALSE
Fixed,APIs,,50:43.0,,37:38.0,CS - Common Services,33:39.0,Common Services,,,4656,FALSE
Fixed,APIs,,50:43.0,,37:38.0,CS - Common Services,33:39.0,Common Services,,,4656,FALSE
Fixed,APIs,,50:43.0,,37:38.0,CS - Common Services,33:39.0,Common Services,,,4656,FALSE
Fixed,APIs,,50:43.0,,37:38.0,CS - Common Services,33:39.0,Common Services,,,4656,FALSE
Fixed,APIs,,50:43.0,,37:38.0,CS - Common Services,33:39.0,Common Services,,,4656,FALSE
Done,Notifications,,47:34.0,,40:51.0,CS - Common Services,12:44.0,Common Services,,,1824,FALSE
Done,Notifications,,47:34.0,,40:51.0,CS - Common Services,12:44.0,Common Services,,,1824,FALSE
Done,Notifications,,47:34.0,,40:51.0,CS - Common Services,12:44.0,Common Services,,,1824,FALSE
Done,Notifications,,50:28.0,,53:48.0,CS - Common Services,32:14.0,Common Services,,,6552,FALSE
Done,Notifications,,50:28.0,,53:48.0,CS - Common Services,32:14.0,Common Services,,,6552,FALSE
Done,Notifications,,50:28.0,,53:48.0,CS - Common Services,32:14.0,Common Services,,,6552,FALSE
Done,Notifications,,50:28.0,,53:48.0,CS - Common Services,32:14.0,Common Services,,,6552,FALSE
Done,Notifications,,50:28.0,,53:48.0,CS - Common Services,32:14.0,Common Services,,,6552,FALSE
Done,Notifications,,50:28.0,,53:48.0,CS - Common Services,32:14.0,Common Services,,,6552,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:23.0,CS - Common Services,39:00.0,Common Services,,,15024,FALSE
Duplicate,Issues,,01:59.0,,08:29.0,CS - Common Services,31:15.0,Common Services,,,1800,FALSE
