ISSUE_KEY,RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES_SEPARATED,CREATED_TIMESTAMP,COE_NAMES_SEPARATED_COPY,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,CASE WHEN HOUR_TO_COMPLETION IS NOT NULL AND HOUR_TO_COMPLETION <= RESOLUTION_TIME THEN TRUE ELSE FALSE END
CS-41766,Fixed,,P4,Mar-21,Web,Oct-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,,600,FALSE
SCCOM-6452,Fixed,Document Management,P3,Apr-21,Backend,Oct-20,CS - Common Services,Sep-20,Common Services,,360,672,FALSE
ACSPA-1455,Done,,,Apr-21,,Oct-20,,Sep-20,,,,1128,FALSE
MBIM-11489,Done,,P3,Apr-21,iOS,Oct-20,CR - Record Consumption,Aug-20,Construction Records,,360,1536,FALSE
NGF-1253,Fixed,Checklists,P4,Apr-21,Web,Oct-20,FC - Field Forms,Aug-20,Field Collaboration,,,1584,FALSE
ACSADMIN-563,Won't Do,,,Apr-21,,Oct-20,,Jul-20,Common Services,,,2352,FALSE
ALEX-38759,Fixed,,P4,Apr-21,Web,Oct-20,CR - Docs Core,Oct-20,Construction Records,,,192,FALSE
NGF-1203,Cannot Reproduce,NGF Talentica,P3,Apr-21,Web,Oct-20,FC - Field Forms,Jul-20,Field Collaboration,,360,2352,FALSE
CS-39717,Won't Fix,,,Apr-21,,Oct-20,WBP - Classic Products,Jun-20,Work Breakdown & Planning,,,3288,FALSE
PT-486,Deferred,Progress Tracking,,May-21,,Oct-20,FC - Field Progress,Aug-20,Field Collaboration,,,1824,FALSE
PT-481,Deferred,Progress Tracking,,May-21,,Oct-20,FC - Field Progress,Aug-20,Field Collaboration,,,1824,FALSE
ACSBP-1042,Done,,P2,Aug-21,Backend,Oct-20,FR - Frameworks,Dec-19,Frameworks,,72,5352,FALSE
ACSBP-1096,Done,,,Aug-21,,Oct-20,FR - Frameworks,Jan-20,Frameworks,,,6600,FALSE
ACSD-4157,Done,Quantify Docs and Sheets,,Sep-21,Web,Oct-20,CR - Docs Core,Aug-20,Construction Records,,,1416,FALSE
ACSADMIN-872,Won't Do,,P4,Sep-21,Web,Oct-20,,Oct-20,,,,48,FALSE
ALEX-38518,Fixed,,P4,Oct-21,Web,Oct-20,CR - Docs Core,Sep-20,Construction Records,,,1152,FALSE
SCCOM-6140,Done,Issues,,Oct-21,Web,Oct-20,CS - Common Services,Aug-20,Common Services,,,1512,FALSE
ACSPA-1361,Duplicate,,,Nov-21,Web,Oct-20,FR - Admin,Aug-20,Frameworks,,,1656,FALSE
MBIM-11497,Done,,P4,Nov-21,iOS,Oct-20,CR - Record Consumption,Aug-20,Construction Records,,,1296,FALSE
ACSPG-806,Fixed,,P4,Nov-21,,Oct-20,FR - Admin,Jan-20,Frameworks,,,6816,FALSE
ALEX-38504,Fixed,,P4,Jan-22,Web,Oct-20,CR - Docs Core,Sep-20,Construction Records,,,672,FALSE
